date,hour,traffic,is_weekend,weather_type,weather_factor,event_type,event_factor,day_of_week,month,season,is_holiday,is_peak_hour
2022-01-01 00:00:00,0,409,True,多云,1.0,节假日,1.5,5,1,1,True,False
2022-01-01 01:00:00,1,480,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 02:00:00,2,493,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 03:00:00,3,205,True,雪天,0.5,节假日,1.5,5,1,1,True,False
2022-01-01 04:00:00,4,490,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 05:00:00,5,498,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 06:00:00,6,1659,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 07:00:00,7,985,True,雾天,0.4,节假日,1.5,5,1,1,True,True
2022-01-01 08:00:00,8,2917,True,晴天,1.2,节假日,1.5,5,1,1,True,True
2022-01-01 09:00:00,9,2726,True,晴天,1.2,节假日,1.5,5,1,1,True,True
2022-01-01 10:00:00,10,1990,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 11:00:00,11,1926,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 12:00:00,12,1514,True,多云,1.0,节假日,1.5,5,1,1,True,False
2022-01-01 13:00:00,13,1857,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 14:00:00,14,1629,True,多云,1.0,节假日,1.5,5,1,1,True,False
2022-01-01 15:00:00,15,657,True,雾天,0.4,节假日,1.5,5,1,1,True,False
2022-01-01 16:00:00,16,1912,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 17:00:00,17,1091,True,雪天,0.5,节假日,1.5,5,1,1,True,True
2022-01-01 18:00:00,18,2571,True,晴天,1.2,节假日,1.5,5,1,1,True,True
2022-01-01 19:00:00,19,1017,True,雪天,0.5,节假日,1.5,5,1,1,True,True
2022-01-01 20:00:00,20,1606,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 21:00:00,21,1565,True,晴天,1.2,节假日,1.5,5,1,1,True,False
2022-01-01 22:00:00,22,542,True,多云,1.0,节假日,1.5,5,1,1,True,False
2022-01-01 23:00:00,23,529,True,多云,1.0,节假日,1.5,5,1,1,True,False
2022-01-02 00:00:00,0,123,True,雾天,0.4,周末,1.2,6,1,1,False,False
2022-01-02 01:00:00,1,166,True,雪天,0.5,周末,1.2,6,1,1,False,False
2022-01-02 02:00:00,2,380,True,晴天,1.2,周末,1.2,6,1,1,False,False
2022-01-02 03:00:00,3,384,True,晴天,1.2,周末,1.2,6,1,1,False,False
2022-01-02 04:00:00,4,371,True,晴天,1.2,周末,1.2,6,1,1,False,False
2022-01-02 05:00:00,5,121,True,雾天,0.4,周末,1.2,6,1,1,False,False
2022-01-02 06:00:00,6,1018,True,多云,1.0,周末,1.2,6,1,1,False,False
2022-01-02 07:00:00,7,2241,True,晴天,1.2,周末,1.2,6,1,1,False,True
2022-01-02 08:00:00,8,2369,True,晴天,1.2,周末,1.2,6,1,1,False,True
2022-01-02 09:00:00,9,2186,True,晴天,1.2,周末,1.2,6,1,1,False,True
2022-01-02 10:00:00,10,1455,True,晴天,1.2,周末,1.2,6,1,1,False,False
2022-01-02 11:00:00,11,1319,True,多云,1.0,周末,1.2,6,1,1,False,False
2022-01-02 12:00:00,12,1247,True,多云,1.0,周末,1.2,6,1,1,False,False
2022-01-02 13:00:00,13,626,True,雪天,0.5,周末,1.2,6,1,1,False,False
2022-01-02 14:00:00,14,651,True,雪天,0.5,周末,1.2,6,1,1,False,False
2022-01-02 15:00:00,15,1218,True,多云,1.0,周末,1.2,6,1,1,False,False
